selection_name,domain_ids,boundary_ids
v3_bnd_oil_immersed_surface_explicit,"",""
v3_center_conductor,"1 2 3 4 6",""
v3_center_conductor_joule_lower,"1 2",""
v3_center_conductor_joule_upper,"1 4",""
v3_condenser_screens,"7 8 9 10 11 12 13 14 15 16 17",""
v3_contact_resistance_heat_source_layer,"1 2 3 4 6",""
v3_contact_resistance_heat_source_layer_strict,"1 3 6",""
v3_flange_grounded_metal,"18 19 20 21 22 82",""
v3_flange_grounded_metal_strict,"18 19 20 82",""
v3_inner_conduit_or_hollow_region,"1 2 3 4",""
v3_oil_side_core,"2 7 8 9 10 11 12 13 14 15 16 17 18 19",""
v3_oil_side_shield_or_tapered_region,"2 7 8 9 10 11 12 13 14 15 16 17 18 19",""
v3_rip_capacitor_core,"2 3 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21",""
v3_rip_capacitor_core_strict,"7 8 9 10 11 12 13 14 15 16 17",""
v3_screen_S00,"7 8",""
v3_screen_S01,"7 8 9",""
v3_screen_S02,"8 9 10",""
v3_screen_S03,"9 10 11",""
v3_screen_S04,"10 11 12",""
v3_screen_S05,"11 12 13",""
v3_screen_S06,"12 13 14",""
v3_screen_S07,"13 14 15",""
v3_screen_S08,"14 15 16",""
v3_screen_S09,"15 16 17",""
v3_screen_S10,"16 17",""
v3_silicone_rubber_external_insulation,"19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81",""
v3_silicone_rubber_external_insulation_strict,"21",""
v3_terminal_connector_region,"2 3 4 6",""
v3_thermal_solid_domains,"2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82",""
